directory,filename,prefix,partition,accelerator,nodelist,steps,backend,caware,order,precision,nodes,tasks,etype,elements,DoFs,mean-perf,mean-perf-per-GPU
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,8,32.0,hex,32,38132480.0,2163726475.590993,67616452.36221853
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes8_tasks32_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,8,32.0,hex,64,320060160.0,14325766083.230162,447680190.10094255
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes8_tasks32_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,8,32.0,hex,128,2621930240.0,20795530464.360096,649860327.011253
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes8_tasks32_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,8,32.0,hex,64,320060160.0,12506071008.121468,390814719.00379586
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,8,32.0,hex,128,2621930240.0,22028331543.41467,688385360.7317084
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes16_tasks64_hex32,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,16,64.0,hex,32,38132480.0,2354132546.402544,36783321.03753975
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware0_order3_precisiondouble_nodes16_tasks64_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,0,3,double,16,64.0,hex,128,2621930240.0,32765611521.207024,511962680.01885974
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes16_tasks64_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,16,64.0,hex,64,320060160.0,12712938075.031155,198639657.4223618
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendcuda_caware1_order3_precisiondouble_nodes16_tasks64_hex64,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,cuda,1,3,double,16,64.0,hex,64,320060160.0,17956502705.756676,280570354.77744806
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes16_tasks64_hex96,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,16,64.0,hex,96,1097440000.0,22705217467.948257,354769022.9366915
solns/spitfireStrongpartitionall_gpuv100_nodelistspitfire-ng01_steps10000_backendopencl_caware0_order3_precisiondouble_nodes16_tasks64_hex128,degrees_of_freedom.dat,spitfireStrong,all,v100,spitfire-ng01,10000,opencl,0,3,double,16,64.0,hex,128,2621930240.0,32780917677.499466,512201838.71092916
